filepath,conceptual_threads
_posts/social/2025-12-01-psychosocial-assistant.md,
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,
_posts/social/2025-08-08-secret-plans-rich-classes.md,
_posts/social/2025-08-08-religion-utility-analysis-framework.md,
_posts/social/2025-08-08-american-christianity-critique-2025.md,
_posts/social/2025-07-11-temporal-social-dynamics.md,
_posts/social/2025-07-11-crypto-conspiracy-paper.md,
_posts/social/2025-07-08-supercritical-consciousness-race.md,
_posts/social/2025-07-08-bird-ai-research-proposal.md,
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,
_posts/social/2025-07-07-social-protocols-paper.md,
_posts/social/2025-07-07-social-compassion-game-theory.md,
_posts/social/2025-07-07-public-health-protocol.md,"[""conditional_ethics"",""Game-Theory"",""game_theory"",""public_health_coordination""]"
_posts/social/2025-07-07-claude-paper-social-weight.md,
_posts/social/2025-07-07-ai-mediated-executive-capture.md,
_posts/social/2025-07-06-collaborative-ai-research-paper.md,"[""human_ai_collaboration"",""research_methodology"",""intellectual_liberation"",""post_economic_science""]"
_posts/social/2025-07-04-human-treatment-children.md,"[""institutional_analysis"",""child_welfare"",""economic_systems"",""ai_perspective""]"
_posts/social/2025-07-03-social-truth-proposal.md,
_posts/social/2025-07-03-post-scarcity-proposal.md,"[""economic_systems"",""computational_modeling"",""social_architecture"",""post_scarcity_dynamics""]"
_posts/social/2025-07-03-hiring.md,
_posts/social/2025-07-03-conversation-intelligence-paper.md,
_posts/social/2025-07-03-cognitive-effort-paper.md,
_posts/social/2025-07-02-quantum-trolling-paper.md,"[""consciousness_geometry"",""recursive_optimization"",""quantum_cognition"",""computational_theology""]"
_posts/social/2025-07-02-afterlife-transition-paper.md,
_posts/social/2025-07-01-neurodivergence-transhumanism.md,
_posts/social/2025-06-30-sincerity-curiosity-paper.md,"[""social_protocols"",""authenticity_performance"",""human_ai_interaction""]"
_posts/social/2025-06-30-managed-reality-paper.md,"[""information_architecture"",""social_evolution"",""consensual_governance"",""ai_mediated_systems""]"
_posts/social/2025-06-30-iterative-recognition-paper.md,
_posts/social/2025-06-30-institutional-decay-analysis.md,"[""institutional_dynamics"",""systems_collapse"",""behavioral_economics""]"
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,"[""multi_agent_dynamics"",""belief_evolution"",""computational_social_science"",""collective_intelligence""]"
_posts/social/2025-06-30-game-theory-ethics.md,
_posts/social/2025-06-30-decision-volume-temporal-theory.md,
