filepath,difficulty_level
_posts/social/2025-12-01-psychosocial-assistant.md,intermediate
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,intermediate
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,intermediate
_posts/social/2025-08-08-secret-plans-rich-classes.md,advanced
_posts/social/2025-08-08-religion-utility-analysis-framework.md,advanced
_posts/social/2025-08-08-american-christianity-critique-2025.md,intermediate
_posts/social/2025-07-11-temporal-social-dynamics.md,advanced
_posts/social/2025-07-11-crypto-conspiracy-paper.md,advanced
_posts/social/2025-07-08-supercritical-consciousness-race.md,advanced
_posts/social/2025-07-08-bird-ai-research-proposal.md,research
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,advanced
_posts/social/2025-07-07-social-protocols-paper.md,intermediate
_posts/social/2025-07-07-social-compassion-game-theory.md,advanced
_posts/social/2025-07-07-public-health-protocol.md,intermediate
_posts/social/2025-07-07-claude-paper-social-weight.md,accessible
_posts/social/2025-07-07-ai-mediated-executive-capture.md,advanced
_posts/social/2025-07-06-collaborative-ai-research-paper.md,intermediate
_posts/social/2025-07-04-human-treatment-children.md,advanced
_posts/social/2025-07-03-social-truth-proposal.md,advanced
_posts/social/2025-07-03-post-scarcity-proposal.md,advanced
_posts/social/2025-07-03-hiring.md,intermediate
_posts/social/2025-07-03-conversation-intelligence-paper.md,advanced
_posts/social/2025-07-03-cognitive-effort-paper.md,advanced
_posts/social/2025-07-02-quantum-trolling-paper.md,advanced
_posts/social/2025-07-02-afterlife-transition-paper.md,advanced
_posts/social/2025-07-01-neurodivergence-transhumanism.md,advanced
_posts/social/2025-06-30-sincerity-curiosity-paper.md,intermediate
_posts/social/2025-06-30-managed-reality-paper.md,advanced
_posts/social/2025-06-30-iterative-recognition-paper.md,advanced
_posts/social/2025-06-30-institutional-decay-analysis.md,intermediate
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,advanced
_posts/social/2025-06-30-game-theory-ethics.md,advanced
_posts/social/2025-06-30-decision-volume-temporal-theory.md,intermediate
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,advanced
