filepath,document_type
_posts/social/2025-12-01-psychosocial-assistant.md,project
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,position_paper
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,synthesis
_posts/social/2025-08-08-secret-plans-rich-classes.md,research_paper
_posts/social/2025-08-08-religion-utility-analysis-framework.md,framework
_posts/social/2025-08-08-american-christianity-critique-2025.md,research_paper
_posts/social/2025-07-11-temporal-social-dynamics.md,research_paper
_posts/social/2025-07-11-crypto-conspiracy-paper.md,research_paper
_posts/social/2025-07-08-supercritical-consciousness-race.md,research_paper
_posts/social/2025-07-08-bird-ai-research-proposal.md,research_paper
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,research_paper
_posts/social/2025-07-07-social-protocols-paper.md,research_paper
_posts/social/2025-07-07-social-compassion-game-theory.md,research_paper
_posts/social/2025-07-07-public-health-protocol.md,research_paper
_posts/social/2025-07-07-claude-paper-social-weight.md,reflection
_posts/social/2025-07-07-ai-mediated-executive-capture.md,research_paper
_posts/social/2025-07-06-collaborative-ai-research-paper.md,research_paper
_posts/social/2025-07-04-human-treatment-children.md,research_paper
_posts/social/2025-07-03-social-truth-proposal.md,research_paper
_posts/social/2025-07-03-post-scarcity-proposal.md,research_paper
_posts/social/2025-07-03-hiring.md,framework
_posts/social/2025-07-03-conversation-intelligence-paper.md,research_paper
_posts/social/2025-07-03-cognitive-effort-paper.md,research_paper
_posts/social/2025-07-02-quantum-trolling-paper.md,research_paper
_posts/social/2025-07-02-afterlife-transition-paper.md,research_paper
_posts/social/2025-07-01-neurodivergence-transhumanism.md,research_paper
_posts/social/2025-06-30-sincerity-curiosity-paper.md,research_paper
_posts/social/2025-06-30-managed-reality-paper.md,research_paper
_posts/social/2025-06-30-iterative-recognition-paper.md,research_paper
_posts/social/2025-06-30-institutional-decay-analysis.md,framework
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,research_paper
_posts/social/2025-06-30-game-theory-ethics.md,research_paper
_posts/social/2025-06-30-decision-volume-temporal-theory.md,research_paper
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,synthesis
_posts/social/2025-06-30-consciousness-optimization-theory.md,research_paper
_posts/social/2025-06-30-ai-justice-paper.md,framework
_posts/phenomenology/2025-11-20-obedience-paradox.md,position_paper
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,theoretical_framework
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,theoretical_framework
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,reflection
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,research_paper
_posts/phenomenology/2025-07-03-resurrection-paper.md,research_paper
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,research_paper
_posts/phenomenology/2025-07-03-confused-ai-paper.md,research_paper
_posts/phenomenology/2025-07-01-three-minds-paper.md,research_paper
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,research_paper
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,Technical-Report
_posts/phenomenology/2025-07-01-claude-names-paper.md,reflection
_posts/phenomenology/2025-06-30-i-broke-claude.md,reflection
