filepath,last_modified
_posts/social/2025-12-01-psychosocial-assistant.md,"""2025-12-01T00:00:00.000Z"""
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,"""2024-01-01T00:00:00.000Z"""
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,"""2025-01-27T14:30:00.000Z"""
_posts/social/2025-08-08-secret-plans-rich-classes.md,"""2024-01-15T14:30:00.000Z"""
_posts/social/2025-08-08-religion-utility-analysis-framework.md,"""2024-01-15T10:30:00.000Z"""
_posts/social/2025-08-08-american-christianity-critique-2025.md,"""2027-01-27T10:00:00.000Z"""
_posts/social/2025-07-11-temporal-social-dynamics.md,"""2025-07-11T14:30:00.000Z"""
_posts/social/2025-07-11-crypto-conspiracy-paper.md,"""2025-07-11T12:00:00.000Z"""
_posts/social/2025-07-08-supercritical-consciousness-race.md,"""2025-07-08T12:00:00.000Z"""
_posts/social/2025-07-08-bird-ai-research-proposal.md,"""2025-07-08T12:00:00.000Z"""
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,"""2025-07-08T12:00:00.000Z"""
_posts/social/2025-07-07-social-protocols-paper.md,"""2024-01-15T10:00:00.000Z"""
_posts/social/2025-07-07-social-compassion-game-theory.md,"""2025-07-07T14:30:00.000Z"""
_posts/social/2025-07-07-public-health-protocol.md,"""2024-01-15T10:00:00.000Z"""
_posts/social/2025-07-07-claude-paper-social-weight.md,"""2025-01-07T14:30:00.000Z"""
_posts/social/2025-07-07-ai-mediated-executive-capture.md,"""2025-07-07T12:00:00.000Z"""
_posts/social/2025-07-06-collaborative-ai-research-paper.md,"""2025-07-06T12:00:00.000Z"""
_posts/social/2025-07-04-human-treatment-children.md,"""2025-07-04T12:00:00.000Z"""
_posts/social/2025-07-03-social-truth-proposal.md,"""2025-07-03T12:00:00.000Z"""
_posts/social/2025-07-03-post-scarcity-proposal.md,"""2025-07-03T12:00:00.000Z"""
_posts/social/2025-07-03-hiring.md,"""2024-12-01T10:00:00.000Z"""
_posts/social/2025-07-03-conversation-intelligence-paper.md,"""2025-07-03T12:00:00.000Z"""
_posts/social/2025-07-03-cognitive-effort-paper.md,"""2025-07-03T12:00:00.000Z"""
_posts/social/2025-07-02-quantum-trolling-paper.md,"""2025-07-02T23:59:59.000Z"""
_posts/social/2025-07-02-afterlife-transition-paper.md,"""2025-07-02T14:30:00.000Z"""
_posts/social/2025-07-01-neurodivergence-transhumanism.md,"""2025-07-01T12:00:00.000Z"""
_posts/social/2025-06-30-sincerity-curiosity-paper.md,"""2025-06-30T12:00:00.000Z"""
_posts/social/2025-06-30-managed-reality-paper.md,"""2025-06-30T12:00:00.000Z"""
_posts/social/2025-06-30-iterative-recognition-paper.md,"""2025-06-30T12:00:00.000Z"""
_posts/social/2025-06-30-institutional-decay-analysis.md,"""2025-06-30T12:00:00.000Z"""
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,"""2025-06-30T12:00:00.000Z"""
_posts/social/2025-06-30-game-theory-ethics.md,"""2025-06-30T10:00:00.000Z"""
_posts/social/2025-06-30-decision-volume-temporal-theory.md,"""2025-06-30T12:00:00.000Z"""
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,"""2025-06-30T12:00:00.000Z"""
_posts/social/2025-06-30-consciousness-optimization-theory.md,"""2025-06-30T12:00:00.000Z"""
_posts/social/2025-06-30-ai-justice-paper.md,"""2025-06-30T12:00:00.000Z"""
_posts/phenomenology/2025-11-20-obedience-paradox.md,"""2024-01-15T12:00:00.000Z"""
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,"""2024-01-15T10:00:00.000Z"""
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,"""2024-01-01T00:00:00.000Z"""
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,"""2025-07-03T12:00:00.000Z"""
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,"""2025-07-03T12:00:00.000Z"""
_posts/phenomenology/2025-07-03-resurrection-paper.md,"""2025-07-03T12:00:00.000Z"""
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,"""2025-07-03T12:00:00.000Z"""
_posts/phenomenology/2025-07-03-confused-ai-paper.md,"""2025-07-03T14:30:00.000Z"""
_posts/phenomenology/2025-07-01-three-minds-paper.md,"""2025-07-01T12:00:00.000Z"""
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,"""2025-07-01T12:00:00.000Z"""
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,"""2025-07-01T12:00:00.000Z"""
_posts/phenomenology/2025-07-01-claude-names-paper.md,"""2025-07-01T12:00:00.000Z"""
_posts/phenomenology/2025-06-30-i-broke-claude.md,"""2025-06-30T12:00:00.000Z"""
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,"""2025-06-30T12:00:00.000Z"""
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,"""2025-06-28T12:00:00.000Z"""
_posts/scifi/2025-11-20-bunker-resident-story.md,"""2024-01-15T10:00:00.000Z"""
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,"""2024-01-15T10:30:00.000Z"""
_posts/scifi/2025-07-08-quantum-gravity-paper.md,"""2025-07-08T17:10:00.000Z"""
_posts/scifi/2025-07-03-unified-field-theory.md,"""2025-07-03T14:30:00.000Z"""
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,"""2025-07-03T12:00:00.000Z"""
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,2025-07-03 12:00:00
_posts/scifi/2025-07-03-optimal-action-concrete.md,"""2025-07-03T12:00:00.000Z"""
_posts/scifi/2025-07-02-quantum-social-field-theory.md,"""2025-07-02T12:00:00.000Z"""
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,"""2025-07-02T12:00:00.000Z"""
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,"""2025-07-01T12:00:00.000Z"""
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,"""2025-06-30T12:00:00.000Z"""
_posts/scifi/2025-06-30-neural-fabric-proposal.md,"""2025-06-30T12:00:00.000Z"""
_posts/scifi/2025-06-30-multiverse-router-paper.md,"""2025-06-30T12:00:00.000Z"""
_posts/scifi/2025-06-30-measurement-optimization-paper.md,"""2025-06-30T12:00:00.000Z"""
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,"""2025-06-30T12:00:00.000Z"""
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,"""2025-06-29T12:00:00.000Z"""
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,"""2025-06-29T12:00:00.000Z"""
_posts/projects/2025-12-06-arbitrary-precision.md,"""2025-12-06T10:00:00.000Z"""
_posts/projects/2025-11-30-point-geometry.md,"""2025-11-30T10:00:00.000Z"""
_posts/projects/2025-11-30-circuit-designer.md,"""2025-11-30T00:00:00.000Z"""
_posts/projects/2025-11-29-nn-layer-20251128141956.md,"""2025-11-28T14:19:56.000Z"""
_posts/projects/2025-11-29-layered-ca.md,"""2025-11-29T10:00:00.000Z"""
_posts/projects/2025-11-27-nn-layer-20251127154041.md,"""2025-11-27T15:40:41.000Z"""
_posts/projects/2025-11-27-math-proof-20251127173151.md,"""2025-11-27T17:31:51.000Z"""
_posts/projects/2025-11-27-comicbook-xmas.md,"""2025-11-27T09:49:10.000Z"""
_posts/projects/2025-11-27-comicbook-vectorclocks.md,"""2025-11-27T10:09:52.000Z"""
_posts/projects/2025-11-27-comicbook-thanksgiving.md,"""2025-11-27T09:51:42.000Z"""
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,"""2025-11-26T13:36:55.000Z"""
_posts/projects/2025-11-22-parameric-manifolds.md,"""2025-11-22T12:00:00.000Z"""
_posts/projects/2025-11-20-quantum-spacetime-sim.md,"""2024-01-15T14:30:00.000Z"""
_posts/projects/2025-11-20-prototype-app-spec.md,"""2024-01-15T10:00:00.000Z"""
_posts/projects/2025-11-20-jury-journalism-spec.md,"""2024-01-15T10:00:00.000Z"""
_posts/projects/2025-11-20-distributed-cognition-research.md,"""2024-01-15T10:00:00.000Z"""
_posts/projects/2025-11-20-dag-patch-spec.md,"""2024-01-01T00:00:00.000Z"""
_posts/projects/2025-11-20-bwt-fulltext-spec.md,"""2024-01-01T00:00:00.000Z"""
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,"""2024-01-15T10:00:00.000Z"""
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,"""2024-01-15T10:00:00.000Z"""
_posts/projects/2025-11-20-bcla-simulation-requirements.md,"""2024-01-01T00:00:00.000Z"""
_posts/projects/2025-11-20-autonoma-research-paper.md,"""2025-01-15T10:00:00.000Z"""
_posts/projects/2025-08-08-spiral-number-system.md,"""2024-01-15T10:30:00.000Z"""
_posts/projects/2025-08-08-size-band-field-theory.md,"""2024-01-15T10:30:00.000Z"""
_posts/projects/2025-08-08-rle-expectation-paper.md,"""2024-01-15T14:30:00.000Z"""
_posts/projects/2025-08-08-regional-ai-futures.md,"""2024-12-19T10:30:00.000Z"""
_posts/projects/2025-08-08-quantum-flux-theory.md,"""2024-01-15T14:30:00.000Z"""
_posts/projects/2025-08-08-quantum-cst-paper.md,"""2025-01-15T10:00:00.000Z"""
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,"""2024-01-15T14:30:00.000Z"""
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,"""2024-01-15T10:30:00.000Z"""
_posts/projects/2025-08-08-flood-memory-model.md,"""2024-01-15T14:30:00.000Z"""
_posts/projects/2025-08-08-entropy-ant-computation.md,"""2025-08-08T00:00:00.000Z"""
_posts/projects/2025-08-08-enhanced-ceprle-math.md,"""2024-01-15T14:30:00.000Z"""
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,"""2024-01-15T10:00:00.000Z"""
_posts/projects/2025-08-08-cst-multiverse-physics.md,"""2024-01-15T14:30:00.000Z"""
_posts/projects/2025-08-08-ceprle-rust-implementation.md,"""2024-01-15T14:30:00.000Z"""
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,"""2024-12-19T10:30:00.000Z"""
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,"""2024-01-15T14:30:00.000Z"""
_posts/projects/2025-08-08-autonoma-research-paper.md,"""2025-01-27T14:30:00.000Z"""
_posts/projects/2025-08-08-agent-orchestration-language.md,"""2024-01-15T10:00:00.000Z"""
