filepath,layout
_posts/social/2025-12-01-psychosocial-assistant.md,post
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,post
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,post
_posts/social/2025-08-08-secret-plans-rich-classes.md,post
_posts/social/2025-08-08-religion-utility-analysis-framework.md,post
_posts/social/2025-08-08-american-christianity-critique-2025.md,post
_posts/social/2025-07-11-temporal-social-dynamics.md,post
_posts/social/2025-07-11-crypto-conspiracy-paper.md,post
_posts/social/2025-07-08-supercritical-consciousness-race.md,post
_posts/social/2025-07-08-bird-ai-research-proposal.md,post
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,post
_posts/social/2025-07-07-social-protocols-paper.md,post
_posts/social/2025-07-07-social-compassion-game-theory.md,post
_posts/social/2025-07-07-public-health-protocol.md,post
_posts/social/2025-07-07-claude-paper-social-weight.md,post
_posts/social/2025-07-07-ai-mediated-executive-capture.md,post
_posts/social/2025-07-06-collaborative-ai-research-paper.md,post
_posts/social/2025-07-04-human-treatment-children.md,post
_posts/social/2025-07-03-social-truth-proposal.md,post
_posts/social/2025-07-03-post-scarcity-proposal.md,post
_posts/social/2025-07-03-hiring.md,post
_posts/social/2025-07-03-conversation-intelligence-paper.md,post
_posts/social/2025-07-03-cognitive-effort-paper.md,post
_posts/social/2025-07-02-quantum-trolling-paper.md,post
_posts/social/2025-07-02-afterlife-transition-paper.md,post
_posts/social/2025-07-01-neurodivergence-transhumanism.md,post
_posts/social/2025-06-30-sincerity-curiosity-paper.md,post
_posts/social/2025-06-30-managed-reality-paper.md,post
_posts/social/2025-06-30-iterative-recognition-paper.md,post
_posts/social/2025-06-30-institutional-decay-analysis.md,post
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,post
_posts/social/2025-06-30-game-theory-ethics.md,post
_posts/social/2025-06-30-decision-volume-temporal-theory.md,post
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,post
_posts/social/2025-06-30-consciousness-optimization-theory.md,post
_posts/social/2025-06-30-ai-justice-paper.md,post
_posts/phenomenology/2025-11-20-obedience-paradox.md,post
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,post
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,post
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,post
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,post
_posts/phenomenology/2025-07-03-resurrection-paper.md,post
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,post
_posts/phenomenology/2025-07-03-confused-ai-paper.md,post
_posts/phenomenology/2025-07-01-three-minds-paper.md,post
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,post
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,post
_posts/phenomenology/2025-07-01-claude-names-paper.md,post
_posts/phenomenology/2025-06-30-i-broke-claude.md,post
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,post
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,post
_posts/scifi/2025-11-20-bunker-resident-story.md,post
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,post
_posts/scifi/2025-07-08-quantum-gravity-paper.md,post
_posts/scifi/2025-07-03-unified-field-theory.md,post
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,post
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,post
_posts/scifi/2025-07-03-optimal-action-concrete.md,post
_posts/scifi/2025-07-02-quantum-social-field-theory.md,post
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,post
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,post
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,post
_posts/scifi/2025-06-30-neural-fabric-proposal.md,post
_posts/scifi/2025-06-30-multiverse-router-paper.md,post
_posts/scifi/2025-06-30-measurement-optimization-paper.md,post
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,post
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,post
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,post
_posts/projects/2025-12-06-arbitrary-precision.md,post
_posts/projects/2025-11-30-point-geometry.md,post
_posts/projects/2025-11-30-circuit-designer.md,post
