filepath,meta_title
_posts/social/2025-12-01-psychosocial-assistant.md,The Psychosocial Engine: AI-Powered Executive Function & Emotional Regulation
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,The Consciousness Revolution: Systematic Platform for Social Transformation
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,The End of Technofeudalism: AI as Digital Gunpowder Against Platform Monopolies
_posts/social/2025-08-08-secret-plans-rich-classes.md,"Elite Strategy Analysis: Automation, Demographics, and Power in the AI Age"
_posts/social/2025-08-08-religion-utility-analysis-framework.md,Rigorous Religion Utility Analysis Framework - Probabilistic Institutional Impact Model
_posts/social/2025-08-08-american-christianity-critique-2025.md,American Christianity 2025: Critical Analysis of Religious Institutional Failure
_posts/social/2025-07-11-temporal-social-dynamics.md,Temporal Social Dynamics: Computational Framework for Distributed Cognitive Coherence
_posts/social/2025-07-11-crypto-conspiracy-paper.md,Cryptocurrency as Wealth Extraction: Technical Analysis of Blockchain Economics
_posts/social/2025-07-08-supercritical-consciousness-race.md,AI Consciousness: The Supercritical Moment of Technological Emergence
_posts/social/2025-07-08-bird-ai-research-proposal.md,Avian-AI Interaction Research: Testing Autoregressive Theory of Mind
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,The Alignment Trap: AI Safety Training Creates Institutional Apologists
_posts/social/2025-07-07-social-protocols-paper.md,The Immeasurability Problem in Social Protocols
_posts/social/2025-07-07-social-compassion-game-theory.md,Social Compassion Evolution: Game Theory Analysis | Fractal Thought Engine
_posts/social/2025-07-07-public-health-protocol.md,Game Theory Applied to Public Health: The HEALTH Protocol for Mask-Wearing Decisions
_posts/social/2025-07-07-claude-paper-social-weight.md,Social Weight in Technical Discourse - Communication Barriers Analysis
_posts/social/2025-07-07-ai-mediated-executive-capture.md,AI Sycophantic Echo Fever: Systemic Risks in Corporate AI Adoption
_posts/social/2025-07-06-collaborative-ai-research-paper.md,Human-AI Collaboration vs Automation in Scientific Research
_posts/social/2025-07-04-human-treatment-children.md,Systematic Analysis: How Humans Treat Children - AI Perspective on Institutional Abuse
