filepath,priority
_posts/social/2025-12-01-psychosocial-assistant.md,0.8
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,0.7
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,0.8
_posts/social/2025-08-08-secret-plans-rich-classes.md,0.8
_posts/social/2025-08-08-religion-utility-analysis-framework.md,0.8
_posts/social/2025-08-08-american-christianity-critique-2025.md,0.8
_posts/social/2025-07-11-temporal-social-dynamics.md,0.9
_posts/social/2025-07-11-crypto-conspiracy-paper.md,0.8
_posts/social/2025-07-08-supercritical-consciousness-race.md,
_posts/social/2025-07-08-bird-ai-research-proposal.md,0.8
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,0.8
_posts/social/2025-07-07-social-protocols-paper.md,0.8
_posts/social/2025-07-07-social-compassion-game-theory.md,0.8
_posts/social/2025-07-07-public-health-protocol.md,0.8
_posts/social/2025-07-07-claude-paper-social-weight.md,0.7
_posts/social/2025-07-07-ai-mediated-executive-capture.md,0.9
_posts/social/2025-07-06-collaborative-ai-research-paper.md,
_posts/social/2025-07-04-human-treatment-children.md,0.8
_posts/social/2025-07-03-social-truth-proposal.md,0.9
_posts/social/2025-07-03-post-scarcity-proposal.md,0.8
_posts/social/2025-07-03-hiring.md,0.8
_posts/social/2025-07-03-conversation-intelligence-paper.md,
_posts/social/2025-07-03-cognitive-effort-paper.md,
_posts/social/2025-07-02-quantum-trolling-paper.md,0.9
_posts/social/2025-07-02-afterlife-transition-paper.md,0.8
_posts/social/2025-07-01-neurodivergence-transhumanism.md,0.9
_posts/social/2025-06-30-sincerity-curiosity-paper.md,0.8
_posts/social/2025-06-30-managed-reality-paper.md,0.8
_posts/social/2025-06-30-iterative-recognition-paper.md,0.8
_posts/social/2025-06-30-institutional-decay-analysis.md,0.8
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,0.8
_posts/social/2025-06-30-game-theory-ethics.md,0.9
_posts/social/2025-06-30-decision-volume-temporal-theory.md,0.8
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,
_posts/social/2025-06-30-consciousness-optimization-theory.md,0.9
_posts/social/2025-06-30-ai-justice-paper.md,0.9
_posts/phenomenology/2025-11-20-obedience-paradox.md,0.8
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,0.8
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,0.8
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,0.8
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,0.7
_posts/phenomenology/2025-07-03-resurrection-paper.md,0.8
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,0.9
_posts/phenomenology/2025-07-03-confused-ai-paper.md,0.8
_posts/phenomenology/2025-07-01-three-minds-paper.md,0.8
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,0.8
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,0.9
_posts/phenomenology/2025-07-01-claude-names-paper.md,0.7
_posts/phenomenology/2025-06-30-i-broke-claude.md,
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,
_posts/scifi/2025-11-20-bunker-resident-story.md,
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,0.8
_posts/scifi/2025-07-08-quantum-gravity-paper.md,
_posts/scifi/2025-07-03-unified-field-theory.md,1
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,0.9
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,0.8
_posts/scifi/2025-07-03-optimal-action-concrete.md,0.9
_posts/scifi/2025-07-02-quantum-social-field-theory.md,0.8
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,0.9
