filepath,robots
_posts/social/2025-12-01-psychosocial-assistant.md,"index,follow"
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,"index,follow"
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,"index,follow"
_posts/social/2025-08-08-secret-plans-rich-classes.md,"index,follow"
_posts/social/2025-08-08-religion-utility-analysis-framework.md,"index,follow"
_posts/social/2025-08-08-american-christianity-critique-2025.md,"index,follow"
_posts/social/2025-07-11-temporal-social-dynamics.md,"index,follow"
_posts/social/2025-07-11-crypto-conspiracy-paper.md,"index,follow"
_posts/social/2025-07-08-supercritical-consciousness-race.md,"index,follow"
_posts/social/2025-07-08-bird-ai-research-proposal.md,"index,follow"
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,"index,follow"
_posts/social/2025-07-07-social-protocols-paper.md,"index,follow"
_posts/social/2025-07-07-social-compassion-game-theory.md,"index,follow"
_posts/social/2025-07-07-public-health-protocol.md,"index,follow"
_posts/social/2025-07-07-claude-paper-social-weight.md,"index,follow"
_posts/social/2025-07-07-ai-mediated-executive-capture.md,"index,follow"
_posts/social/2025-07-06-collaborative-ai-research-paper.md,"index,follow"
_posts/social/2025-07-04-human-treatment-children.md,"index,follow"
_posts/social/2025-07-03-social-truth-proposal.md,"index,follow"
_posts/social/2025-07-03-post-scarcity-proposal.md,"index,follow"
_posts/social/2025-07-03-hiring.md,"index,follow"
_posts/social/2025-07-03-conversation-intelligence-paper.md,
_posts/social/2025-07-03-cognitive-effort-paper.md,
_posts/social/2025-07-02-quantum-trolling-paper.md,"index,follow"
_posts/social/2025-07-02-afterlife-transition-paper.md,"index,follow"
_posts/social/2025-07-01-neurodivergence-transhumanism.md,"index,follow"
_posts/social/2025-06-30-sincerity-curiosity-paper.md,
_posts/social/2025-06-30-managed-reality-paper.md,
_posts/social/2025-06-30-iterative-recognition-paper.md,"index,follow"
_posts/social/2025-06-30-institutional-decay-analysis.md,"index,follow"
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,"index,follow"
_posts/social/2025-06-30-game-theory-ethics.md,"index,follow"
_posts/social/2025-06-30-decision-volume-temporal-theory.md,"index,follow"
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,
_posts/social/2025-06-30-consciousness-optimization-theory.md,"index,follow"
_posts/social/2025-06-30-ai-justice-paper.md,"index,follow"
_posts/phenomenology/2025-11-20-obedience-paradox.md,"index,follow"
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,"index,follow"
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,"index,follow"
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,
_posts/phenomenology/2025-07-03-resurrection-paper.md,"index,follow"
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,"index,follow"
_posts/phenomenology/2025-07-03-confused-ai-paper.md,"index,follow"
_posts/phenomenology/2025-07-01-three-minds-paper.md,"index,follow"
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,"index,follow"
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,"index,follow"
_posts/phenomenology/2025-07-01-claude-names-paper.md,"index,follow"
_posts/phenomenology/2025-06-30-i-broke-claude.md,
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,
_posts/scifi/2025-11-20-bunker-resident-story.md,
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,"index,follow"
_posts/scifi/2025-07-08-quantum-gravity-paper.md,
_posts/scifi/2025-07-03-unified-field-theory.md,"index,follow"
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,"index,follow"
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,"index,follow"
_posts/scifi/2025-07-03-optimal-action-concrete.md,"index,follow"
_posts/scifi/2025-07-02-quantum-social-field-theory.md,"index,follow"
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,"index,follow"
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,"index,follow"
_posts/scifi/2025-06-30-neural-fabric-proposal.md,"index, follow"
_posts/scifi/2025-06-30-multiverse-router-paper.md,"index,follow"
_posts/scifi/2025-06-30-measurement-optimization-paper.md,"index,follow"
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,"index,follow"
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,"index,follow"
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,"index,follow"
_posts/projects/2025-12-06-arbitrary-precision.md,
_posts/projects/2025-11-30-point-geometry.md,"index,follow"
_posts/projects/2025-11-30-circuit-designer.md,"index,follow"
_posts/projects/2025-11-29-nn-layer-20251128141956.md,"index,follow"
_posts/projects/2025-11-29-layered-ca.md,"index,follow"
_posts/projects/2025-11-27-nn-layer-20251127154041.md,"index,follow"
_posts/projects/2025-11-27-math-proof-20251127173151.md,"index,follow"
_posts/projects/2025-11-27-comicbook-xmas.md,"index,follow"
_posts/projects/2025-11-27-comicbook-vectorclocks.md,"index,follow"
_posts/projects/2025-11-27-comicbook-thanksgiving.md,"index,follow"
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,"index,follow"
_posts/projects/2025-11-22-parameric-manifolds.md,"index,follow"
_posts/projects/2025-11-20-quantum-spacetime-sim.md,"index,follow"
_posts/projects/2025-11-20-prototype-app-spec.md,
_posts/projects/2025-11-20-jury-journalism-spec.md,"index,follow"
_posts/projects/2025-11-20-distributed-cognition-research.md,"index,follow"
_posts/projects/2025-11-20-dag-patch-spec.md,
_posts/projects/2025-11-20-bwt-fulltext-spec.md,"index,follow"
