filepath,schema_image
_posts/social/2025-12-01-psychosocial-assistant.md,../../assets/images/psasst/orbit_sync_ui_mockup.png
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,../../assets/images/consciousness_suppression_liberation_spectrum.png
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,
_posts/social/2025-08-08-secret-plans-rich-classes.md,
_posts/social/2025-08-08-religion-utility-analysis-framework.md,
_posts/social/2025-08-08-american-christianity-critique-2025.md,
_posts/social/2025-07-11-temporal-social-dynamics.md,
_posts/social/2025-07-11-crypto-conspiracy-paper.md,
_posts/social/2025-07-08-supercritical-consciousness-race.md,
_posts/social/2025-07-08-bird-ai-research-proposal.md,
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,
_posts/social/2025-07-07-social-protocols-paper.md,
_posts/social/2025-07-07-social-compassion-game-theory.md,/assets/images/social-compassion-game-theory-schema.png
_posts/social/2025-07-07-public-health-protocol.md,
_posts/social/2025-07-07-claude-paper-social-weight.md,
_posts/social/2025-07-07-ai-mediated-executive-capture.md,
_posts/social/2025-07-06-collaborative-ai-research-paper.md,
_posts/social/2025-07-04-human-treatment-children.md,
_posts/social/2025-07-03-social-truth-proposal.md,/assets/images/social-truth-schema.png
_posts/social/2025-07-03-post-scarcity-proposal.md,
_posts/social/2025-07-03-hiring.md,/assets/images/agentic-hiring-schema.png
_posts/social/2025-07-03-conversation-intelligence-paper.md,
_posts/social/2025-07-03-cognitive-effort-paper.md,
_posts/social/2025-07-02-quantum-trolling-paper.md,
_posts/social/2025-07-02-afterlife-transition-paper.md,
_posts/social/2025-07-01-neurodivergence-transhumanism.md,
_posts/social/2025-06-30-sincerity-curiosity-paper.md,
_posts/social/2025-06-30-managed-reality-paper.md,
_posts/social/2025-06-30-iterative-recognition-paper.md,
_posts/social/2025-06-30-institutional-decay-analysis.md,
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,
_posts/social/2025-06-30-game-theory-ethics.md,
_posts/social/2025-06-30-decision-volume-temporal-theory.md,
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,
_posts/social/2025-06-30-consciousness-optimization-theory.md,
_posts/social/2025-06-30-ai-justice-paper.md,/assets/images/ai-justice-paper-hero.jpg
_posts/phenomenology/2025-11-20-obedience-paradox.md,/assets/images/obedience_paradox_featured.png
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,/assets/images/numeral-evolution.png
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,/assets/images/lorentzian_ethics_featured.png
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,
_posts/phenomenology/2025-07-03-resurrection-paper.md,
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,
_posts/phenomenology/2025-07-03-confused-ai-paper.md,
_posts/phenomenology/2025-07-01-three-minds-paper.md,
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,
_posts/phenomenology/2025-07-01-claude-names-paper.md,
_posts/phenomenology/2025-06-30-i-broke-claude.md,
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,
_posts/scifi/2025-11-20-bunker-resident-story.md,
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,
_posts/scifi/2025-07-08-quantum-gravity-paper.md,
_posts/scifi/2025-07-03-unified-field-theory.md,
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,
_posts/scifi/2025-07-03-optimal-action-concrete.md,/assets/images/quantum-information-theory.png
_posts/scifi/2025-07-02-quantum-social-field-theory.md,/assets/images/quantum-social-field-theory-schema.png
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,
_posts/scifi/2025-06-30-neural-fabric-proposal.md,
_posts/scifi/2025-06-30-multiverse-router-paper.md,/assets/images/quantum-substrate-schema.png
_posts/scifi/2025-06-30-measurement-optimization-paper.md,
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,../../assets/images/conventional_vs_quantum_fusion_comparison.png
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,/assets/images/soliton-hierarchies-schema.png
_posts/projects/2025-12-06-arbitrary-precision.md,
_posts/projects/2025-11-30-point-geometry.md,/assets/images/semantic_vs_mesh_reconstruction_png.png
_posts/projects/2025-11-30-circuit-designer.md,/assets/images/circuit designer/electrical_modality_concept_art.png
_posts/projects/2025-11-29-nn-layer-20251128141956.md,/assets/images/minkowski_rbf_layer.png
_posts/projects/2025-11-29-layered-ca.md,/assets/images/layered_automata_schema.png
_posts/projects/2025-11-27-nn-layer-20251127154041.md,../../assets/images/interpolated_density/interpolated_density_entropy_forward_pass_pipeline.png
_posts/projects/2025-11-27-math-proof-20251127173151.md,/assets/images/knot-theory-harmonic.png
_posts/projects/2025-11-27-comicbook-xmas.md,/assets/images/xmas/page_1_row_1.png
_posts/projects/2025-11-27-comicbook-vectorclocks.md,/assets/images/vectorclocks/page_4_row_2.png
_posts/projects/2025-11-27-comicbook-thanksgiving.md,/assets/images/thxgvn/page_1_row_1.png
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,/assets/images/voice-agent-architecture.png
_posts/projects/2025-11-22-parameric-manifolds.md,
_posts/projects/2025-11-20-quantum-spacetime-sim.md,/assets/images/quantum_spacetime_sim_featured.png
_posts/projects/2025-11-20-prototype-app-spec.md,
_posts/projects/2025-11-20-jury-journalism-spec.md,/assets/images/jury-journalism-featured.png
_posts/projects/2025-11-20-distributed-cognition-research.md,/assets/images/distributed-cognition-hero.png
_posts/projects/2025-11-20-dag-patch-spec.md,
_posts/projects/2025-11-20-bwt-fulltext-spec.md,/assets/images/bwt_permutation_ring.png
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,/assets/images/bioengineered-mouse-specs.png
_posts/projects/2025-11-20-bcla-simulation-requirements.md,
_posts/projects/2025-11-20-autonoma-research-paper.md,/assets/images/bcla-network-topology.png
_posts/projects/2025-08-08-spiral-number-system.md,
_posts/projects/2025-08-08-size-band-field-theory.md,
_posts/projects/2025-08-08-rle-expectation-paper.md,
_posts/projects/2025-08-08-regional-ai-futures.md,
_posts/projects/2025-08-08-quantum-flux-theory.md,
_posts/projects/2025-08-08-quantum-cst-paper.md,/assets/images/quantum_cst_schema.png
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,/assets/images/nuclear_asteroid_propulsion_schema.png
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,
_posts/projects/2025-08-08-flood-memory-model.md,
_posts/projects/2025-08-08-entropy-ant-computation.md,
_posts/projects/2025-08-08-enhanced-ceprle-math.md,
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,
_posts/projects/2025-08-08-cst-multiverse-physics.md,/assets/images/cst_multiverse_schema.png
_posts/projects/2025-08-08-ceprle-rust-implementation.md,
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,
