filepath,status
_posts/social/2025-12-01-psychosocial-assistant.md,working
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,working
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,stable
_posts/social/2025-08-08-secret-plans-rich-classes.md,stable
_posts/social/2025-08-08-religion-utility-analysis-framework.md,stable
_posts/social/2025-08-08-american-christianity-critique-2025.md,stable
_posts/social/2025-07-11-temporal-social-dynamics.md,stable
_posts/social/2025-07-11-crypto-conspiracy-paper.md,working
_posts/social/2025-07-08-supercritical-consciousness-race.md,working
_posts/social/2025-07-08-bird-ai-research-proposal.md,working
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,stable
_posts/social/2025-07-07-social-protocols-paper.md,draft
_posts/social/2025-07-07-social-compassion-game-theory.md,draft
_posts/social/2025-07-07-public-health-protocol.md,draft
_posts/social/2025-07-07-claude-paper-social-weight.md,draft
_posts/social/2025-07-07-ai-mediated-executive-capture.md,working
_posts/social/2025-07-06-collaborative-ai-research-paper.md,draft
_posts/social/2025-07-04-human-treatment-children.md,draft
_posts/social/2025-07-03-social-truth-proposal.md,draft
_posts/social/2025-07-03-post-scarcity-proposal.md,draft
_posts/social/2025-07-03-hiring.md,draft
_posts/social/2025-07-03-conversation-intelligence-paper.md,draft
_posts/social/2025-07-03-cognitive-effort-paper.md,stable
_posts/social/2025-07-02-quantum-trolling-paper.md,draft
_posts/social/2025-07-02-afterlife-transition-paper.md,draft
_posts/social/2025-07-01-neurodivergence-transhumanism.md,stable
_posts/social/2025-06-30-sincerity-curiosity-paper.md,draft
_posts/social/2025-06-30-managed-reality-paper.md,draft
_posts/social/2025-06-30-iterative-recognition-paper.md,living
_posts/social/2025-06-30-institutional-decay-analysis.md,draft
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,draft
_posts/social/2025-06-30-game-theory-ethics.md,stable
_posts/social/2025-06-30-decision-volume-temporal-theory.md,draft
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,draft
_posts/social/2025-06-30-consciousness-optimization-theory.md,draft
_posts/social/2025-06-30-ai-justice-paper.md,draft
_posts/phenomenology/2025-11-20-obedience-paradox.md,stable
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,stable
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,stable
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,draft
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,draft
_posts/phenomenology/2025-07-03-resurrection-paper.md,draft
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,draft
_posts/phenomenology/2025-07-03-confused-ai-paper.md,draft
_posts/phenomenology/2025-07-01-three-minds-paper.md,draft
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,draft
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,draft
_posts/phenomenology/2025-07-01-claude-names-paper.md,working
_posts/phenomenology/2025-06-30-i-broke-claude.md,stable
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,draft
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,stable
_posts/scifi/2025-11-20-bunker-resident-story.md,stable
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,stable
_posts/scifi/2025-07-08-quantum-gravity-paper.md,working
_posts/scifi/2025-07-03-unified-field-theory.md,draft
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,stable
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,draft
_posts/scifi/2025-07-03-optimal-action-concrete.md,draft
_posts/scifi/2025-07-02-quantum-social-field-theory.md,draft
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,stable
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,draft
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,draft
_posts/scifi/2025-06-30-neural-fabric-proposal.md,draft
_posts/scifi/2025-06-30-multiverse-router-paper.md,draft
_posts/scifi/2025-06-30-measurement-optimization-paper.md,draft
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,draft
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,draft
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,draft
_posts/projects/2025-12-06-arbitrary-precision.md,stable
_posts/projects/2025-11-30-point-geometry.md,working
_posts/projects/2025-11-30-circuit-designer.md,working
_posts/projects/2025-11-29-nn-layer-20251128141956.md,working
_posts/projects/2025-11-29-layered-ca.md,stable
_posts/projects/2025-11-27-nn-layer-20251127154041.md,stable
_posts/projects/2025-11-27-math-proof-20251127173151.md,stable
_posts/projects/2025-11-27-comicbook-xmas.md,stable
_posts/projects/2025-11-27-comicbook-vectorclocks.md,stable
_posts/projects/2025-11-27-comicbook-thanksgiving.md,stable
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,stable
_posts/projects/2025-11-22-parameric-manifolds.md,draft
_posts/projects/2025-11-20-quantum-spacetime-sim.md,stable
_posts/projects/2025-11-20-prototype-app-spec.md,working
_posts/projects/2025-11-20-jury-journalism-spec.md,working
_posts/projects/2025-11-20-distributed-cognition-research.md,stable
_posts/projects/2025-11-20-dag-patch-spec.md,working
_posts/projects/2025-11-20-bwt-fulltext-spec.md,stable
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,stable
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,stable
_posts/projects/2025-11-20-bcla-simulation-requirements.md,working
_posts/projects/2025-11-20-autonoma-research-paper.md,stable
_posts/projects/2025-08-08-spiral-number-system.md,working
_posts/projects/2025-08-08-size-band-field-theory.md,working
_posts/projects/2025-08-08-rle-expectation-paper.md,stable
_posts/projects/2025-08-08-regional-ai-futures.md,stable
_posts/projects/2025-08-08-quantum-flux-theory.md,working
_posts/projects/2025-08-08-quantum-cst-paper.md,stable
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,working
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,stable
_posts/projects/2025-08-08-flood-memory-model.md,working
_posts/projects/2025-08-08-entropy-ant-computation.md,working
_posts/projects/2025-08-08-enhanced-ceprle-math.md,stable
_posts/projects/2025-08-08-discrete-quantum-spacetime-paper.md,stable
_posts/projects/2025-08-08-cst-multiverse-physics.md,working
_posts/projects/2025-08-08-ceprle-rust-implementation.md,working
_posts/projects/2025-08-08-bitcoin-origin-probability-analysis.md,stable
_posts/projects/2025-08-08-bifurcation-cascade-paper.md,stable
_posts/projects/2025-08-08-autonoma-research-paper.md,stable
_posts/projects/2025-08-08-agent-orchestration-language.md,working
_posts/projects/2025-07-11-agentic-cms-spec.md,working
_posts/projects/2025-07-09-wavelet-ca-paper.md,stable
_posts/projects/2025-07-09-spherical-harmonic-llm-regularization.md,working
_posts/projects/2025-07-09-maximum-entropy-gp-paper.md,draft
_posts/projects/2025-07-09-impossible-objects-paper.md,stable
_posts/projects/2025-07-08-fundamental-oodp-paper.md,stable
_posts/projects/2025-07-07-interdimensional-interference-paper.md,draft
_posts/projects/2025-07-03-late-merge-paper.md,draft
_posts/projects/2025-07-03-climate-protocol.md,draft
_posts/projects/2025-07-03-archaeological-agents-proposal.md,draft
_posts/projects/2025-07-01-rust-proxy-proposal.md,
_posts/projects/2025-06-30-wavelet-geometric-optimization.md,working
_posts/projects/2025-06-30-volumetric-density-tree-proposal.md,draft
_posts/projects/2025-06-30-parametric-ideation-paper.md,draft
_posts/projects/2025-06-30-orbital-dynamics-paper.md,draft
_posts/projects/2025-06-30-ontological-compiler-proposal.md,draft
_posts/projects/2025-06-30-metacognitive-layer-paper.md,draft
_posts/projects/2025-06-30-knots.md,draft
_posts/projects/2025-06-30-knot-wavelets.md,draft
_posts/projects/2025-06-30-grammar-lookahead-proposal.md,draft
_posts/projects/2025-06-30-geometric-optimization-proposal.md,draft
_posts/projects/2025-06-30-bwt-tree-proposal.md,draft
_posts/learning/2025-07-11-contextual-immersion-teaching.md,stable
