filepath,subcategory
_posts/social/2025-12-01-psychosocial-assistant.md,AI-Human Sociology
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,Institutional & Political Dynamics
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,Institutional & Political Dynamics
_posts/social/2025-08-08-secret-plans-rich-classes.md,Institutional & Political Dynamics
_posts/social/2025-08-08-religion-utility-analysis-framework.md,Institutional & Political Dynamics
_posts/social/2025-08-08-american-christianity-critique-2025.md,Institutional & Political Dynamics
_posts/social/2025-07-11-temporal-social-dynamics.md,Social Game Theory & Protocols
_posts/social/2025-07-11-crypto-conspiracy-paper.md,Institutional & Political Dynamics
_posts/social/2025-07-08-supercritical-consciousness-race.md,AI-Human Sociology
_posts/social/2025-07-08-bird-ai-research-proposal.md,AI-Human Sociology
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,AI-Human Sociology
_posts/social/2025-07-07-social-protocols-paper.md,Social Game Theory & Protocols
_posts/social/2025-07-07-social-compassion-game-theory.md,Social Game Theory & Protocols
_posts/social/2025-07-07-public-health-protocol.md,Social Game Theory & Protocols
_posts/social/2025-07-07-claude-paper-social-weight.md,AI-Human Sociology
_posts/social/2025-07-07-ai-mediated-executive-capture.md,AI-Human Sociology
_posts/social/2025-07-06-collaborative-ai-research-paper.md,AI-Human Sociology
_posts/social/2025-07-04-human-treatment-children.md,Institutional & Political Dynamics
_posts/social/2025-07-03-social-truth-proposal.md,Social Game Theory & Protocols
_posts/social/2025-07-03-post-scarcity-proposal.md,Institutional & Political Dynamics
_posts/social/2025-07-03-hiring.md,Institutional & Political Dynamics
_posts/social/2025-07-03-conversation-intelligence-paper.md,AI-Human Sociology
_posts/social/2025-07-03-cognitive-effort-paper.md,Social Game Theory & Protocols
_posts/social/2025-07-02-quantum-trolling-paper.md,AI-Human Sociology
_posts/social/2025-07-02-afterlife-transition-paper.md,Institutional & Political Dynamics
_posts/social/2025-07-01-neurodivergence-transhumanism.md,AI-Human Sociology
_posts/social/2025-06-30-sincerity-curiosity-paper.md,AI-Human Sociology
_posts/social/2025-06-30-managed-reality-paper.md,AI-Human Sociology
_posts/social/2025-06-30-iterative-recognition-paper.md,AI-Human Sociology
_posts/social/2025-06-30-institutional-decay-analysis.md,Institutional & Political Dynamics
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,Social Game Theory & Protocols
_posts/social/2025-06-30-game-theory-ethics.md,Institutional & Political Dynamics
_posts/social/2025-06-30-decision-volume-temporal-theory.md,Social Game Theory & Protocols
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,Institutional & Political Dynamics
_posts/social/2025-06-30-consciousness-optimization-theory.md,Social Game Theory & Protocols
_posts/social/2025-06-30-ai-justice-paper.md,Institutional & Political Dynamics
_posts/scifi/2025-11-20-bunker-resident-story.md,Speculative Narrative
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,Quantum & Spacetime Physics
_posts/scifi/2025-07-08-quantum-gravity-paper.md,Quantum & Spacetime Physics
_posts/scifi/2025-07-03-unified-field-theory.md,Quantum & Spacetime Physics
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,Computational Reality & Consciousness
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,Quantum & Spacetime Physics
_posts/scifi/2025-07-03-optimal-action-concrete.md,Quantum & Spacetime Physics
_posts/scifi/2025-07-02-quantum-social-field-theory.md,Computational Reality & Consciousness
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,Computational Reality & Consciousness
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,Quantum & Spacetime Physics
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,Computational Reality & Consciousness
_posts/scifi/2025-06-30-neural-fabric-proposal.md,Computational Reality & Consciousness
_posts/scifi/2025-06-30-multiverse-router-paper.md,Quantum & Spacetime Physics
_posts/scifi/2025-06-30-measurement-optimization-paper.md,Quantum & Spacetime Physics
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,Computational Reality & Consciousness
