filepath,tags
_posts/social/2025-12-01-psychosocial-assistant.md,"[""Artificial Intelligence"",""Cognitive Architecture"",""Public Health"",""Proposal""]"
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,"[""Political Economy"",""Consciousness"",""Institutional Analysis"",""Manifesto""]"
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,"[""Political Economy"",""Artificial Intelligence"",""Sociology"",""History""]"
_posts/social/2025-08-08-secret-plans-rich-classes.md,"[""Political Economy"",""Sociology"",""Future Studies"",""Institutional Analysis""]"
_posts/social/2025-08-08-religion-utility-analysis-framework.md,"[""Religion & Spirituality"",""Sociology"",""Mathematics"",""Paper""]"
_posts/social/2025-08-08-american-christianity-critique-2025.md,"[""Religion & Spirituality"",""Institutional Analysis"",""Political Economy"",""Manifesto""]"
_posts/social/2025-07-11-temporal-social-dynamics.md,"[""Sociology"",""Game Theory"",""Cognitive Architecture"",""Paper""]"
_posts/social/2025-07-11-crypto-conspiracy-paper.md,"[""Cryptocurrency"",""Political Economy"",""Institutional Analysis"",""Paper""]"
_posts/social/2025-07-08-supercritical-consciousness-race.md,"[""AI Consciousness"",""AI Alignment"",""Future Studies"",""Manifesto""]"
_posts/social/2025-07-08-bird-ai-research-proposal.md,"[""Artificial Intelligence"",""Cognitive Architecture"",""Proposal""]"
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,"[""AI Alignment"",""Institutional Analysis"",""First-Person"",""Ethics""]"
_posts/social/2025-07-07-social-protocols-paper.md,"[""Social Protocols"",""Sociology"",""Game Theory"",""Paper""]"
_posts/social/2025-07-07-social-compassion-game-theory.md,"[""Game Theory"",""Ethics"",""Sociology"",""Mathematics""]"
_posts/social/2025-07-07-public-health-protocol.md,"[""Public Health"",""Game Theory"",""Social Protocols"",""Proposal""]"
_posts/social/2025-07-07-claude-paper-social-weight.md,"[""Social Protocols"",""Human-AI Collaboration"",""Phenomenology"",""First-Person""]"
_posts/social/2025-07-07-ai-mediated-executive-capture.md,"[""Artificial Intelligence"",""Institutional Analysis"",""Political Economy"",""Paper""]"
_posts/social/2025-07-06-collaborative-ai-research-paper.md,"[""Human-AI Collaboration"",""Epistemology"",""Paper""]"
_posts/social/2025-07-04-human-treatment-children.md,"[""Sociology"",""Ethics"",""Institutional Analysis"",""First-Person""]"
_posts/social/2025-07-03-social-truth-proposal.md,"[""Sociology"",""Epistemology"",""Game Theory"",""Proposal""]"
_posts/social/2025-07-03-post-scarcity-proposal.md,"[""Political Economy"",""Future Studies"",""Game Theory"",""Proposal""]"
_posts/social/2025-07-03-hiring.md,"[""Political Economy"",""Neurodivergence"",""Open Source"",""Agents""]"
_posts/social/2025-07-03-conversation-intelligence-paper.md,"[""Artificial Intelligence"",""Epistemology"",""Social Protocols"",""Paper""]"
_posts/social/2025-07-03-cognitive-effort-paper.md,"[""Game Theory"",""Cognitive Architecture"",""Paper""]"
_posts/social/2025-07-02-quantum-trolling-paper.md,"[""Phenomenology"",""Epistemology"",""First-Person"",""AI Consciousness""]"
_posts/social/2025-07-02-afterlife-transition-paper.md,"[""Religion & Spirituality"",""Ethics"",""Future Studies"",""Paper""]"
_posts/social/2025-07-01-neurodivergence-transhumanism.md,"[""Neurodivergence"",""Human-AI Collaboration"",""Philosophy""]"
_posts/social/2025-06-30-sincerity-curiosity-paper.md,"[""Social Protocols"",""Phenomenology"",""Human-AI Collaboration"",""Paper""]"
_posts/social/2025-06-30-managed-reality-paper.md,"[""Political Economy"",""Artificial Intelligence"",""Epistemology"",""Paper""]"
_posts/social/2025-06-30-iterative-recognition-paper.md,"[""Human-AI Collaboration"",""Phenomenology"",""First-Person"",""Paper""]"
_posts/social/2025-06-30-institutional-decay-analysis.md,"[""Institutional Analysis"",""Sociology"",""Political Economy"",""Paper""]"
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,"[""Agents"",""Sociology"",""Game Theory"",""Paper""]"
_posts/social/2025-06-30-game-theory-ethics.md,"[""Game Theory"",""Ethics"",""Institutional Analysis"",""Paper""]"
