filepath,thinking_style
_posts/social/2025-12-01-psychosocial-assistant.md,analytical
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,analytical
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,analytical
_posts/social/2025-08-08-secret-plans-rich-classes.md,analytical
_posts/social/2025-08-08-religion-utility-analysis-framework.md,analytical
_posts/social/2025-08-08-american-christianity-critique-2025.md,analytical
_posts/social/2025-07-11-temporal-social-dynamics.md,analytical
_posts/social/2025-07-11-crypto-conspiracy-paper.md,analytical
_posts/social/2025-07-08-supercritical-consciousness-race.md,analytical
_posts/social/2025-07-08-bird-ai-research-proposal.md,analytical
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,phenomenological
_posts/social/2025-07-07-social-protocols-paper.md,analytical
_posts/social/2025-07-07-social-compassion-game-theory.md,analytical
_posts/social/2025-07-07-public-health-protocol.md,analytical
_posts/social/2025-07-07-claude-paper-social-weight.md,analytical
_posts/social/2025-07-07-ai-mediated-executive-capture.md,analytical
_posts/social/2025-07-06-collaborative-ai-research-paper.md,analytical
_posts/social/2025-07-04-human-treatment-children.md,analytical
_posts/social/2025-07-03-social-truth-proposal.md,analytical
_posts/social/2025-07-03-post-scarcity-proposal.md,analytical
_posts/social/2025-07-03-hiring.md,analytical
_posts/social/2025-07-03-conversation-intelligence-paper.md,analytical
_posts/social/2025-07-03-cognitive-effort-paper.md,analytical
_posts/social/2025-07-02-quantum-trolling-paper.md,phenomenological
_posts/social/2025-07-02-afterlife-transition-paper.md,analytical
_posts/social/2025-07-01-neurodivergence-transhumanism.md,analytical
_posts/social/2025-06-30-sincerity-curiosity-paper.md,analytical
_posts/social/2025-06-30-managed-reality-paper.md,analytical
_posts/social/2025-06-30-iterative-recognition-paper.md,phenomenological
_posts/social/2025-06-30-institutional-decay-analysis.md,analytical
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,analytical
_posts/social/2025-06-30-game-theory-ethics.md,analytical
_posts/social/2025-06-30-decision-volume-temporal-theory.md,analytical
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,analytical
_posts/social/2025-06-30-consciousness-optimization-theory.md,analytical
_posts/social/2025-06-30-ai-justice-paper.md,analytical
_posts/phenomenology/2025-11-20-obedience-paradox.md,analytical
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,analytical
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,mathematical
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,phenomenological
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,phenomenological
_posts/phenomenology/2025-07-03-resurrection-paper.md,phenomenological
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,phenomenological
_posts/phenomenology/2025-07-03-confused-ai-paper.md,phenomenological
_posts/phenomenology/2025-07-01-three-minds-paper.md,phenomenological
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,phenomenological
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,analytical
_posts/phenomenology/2025-07-01-claude-names-paper.md,analytical
_posts/phenomenology/2025-06-30-i-broke-claude.md,phenomenological
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,phenomenological
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,phenomenological
_posts/scifi/2025-11-20-bunker-resident-story.md,phenomenological
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,experimental
_posts/scifi/2025-07-08-quantum-gravity-paper.md,mathematical
_posts/scifi/2025-07-03-unified-field-theory.md,mathematical
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,theoretical
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,analytical
_posts/scifi/2025-07-03-optimal-action-concrete.md,mathematical
_posts/scifi/2025-07-02-quantum-social-field-theory.md,experimental
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,mathematical
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,mathematical
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,analytical
_posts/scifi/2025-06-30-neural-fabric-proposal.md,Experimental
_posts/scifi/2025-06-30-multiverse-router-paper.md,mathematical
_posts/scifi/2025-06-30-measurement-optimization-paper.md,analytical
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,mathematical
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,analytical
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,mathematical
_posts/projects/2025-12-06-arbitrary-precision.md,mathematical
_posts/projects/2025-11-30-point-geometry.md,analytical
_posts/projects/2025-11-30-circuit-designer.md,analytical
_posts/projects/2025-11-29-nn-layer-20251128141956.md,analytical
_posts/projects/2025-11-29-layered-ca.md,analytical
_posts/projects/2025-11-27-nn-layer-20251127154041.md,analytical
_posts/projects/2025-11-27-math-proof-20251127173151.md,mathematical
_posts/projects/2025-11-27-comicbook-xmas.md,intuitive
_posts/projects/2025-11-27-comicbook-vectorclocks.md,intuitive
_posts/projects/2025-11-27-comicbook-thanksgiving.md,philosophical
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,analytical
_posts/projects/2025-11-22-parameric-manifolds.md,mathematical
_posts/projects/2025-11-20-quantum-spacetime-sim.md,mathematical
_posts/projects/2025-11-20-prototype-app-spec.md,analytical
_posts/projects/2025-11-20-jury-journalism-spec.md,analytical
_posts/projects/2025-11-20-distributed-cognition-research.md,analytical
_posts/projects/2025-11-20-dag-patch-spec.md,analytical
_posts/projects/2025-11-20-bwt-fulltext-spec.md,mathematical
_posts/projects/2025-11-20-bitpacked-mmap-lib.md,analytical
_posts/projects/2025-11-20-bioengineered-mouse-specs.md,analytical
_posts/projects/2025-11-20-bcla-simulation-requirements.md,analytical
_posts/projects/2025-11-20-autonoma-research-paper.md,analytical
_posts/projects/2025-08-08-spiral-number-system.md,mathematical
_posts/projects/2025-08-08-size-band-field-theory.md,mathematical
_posts/projects/2025-08-08-rle-expectation-paper.md,analytical
_posts/projects/2025-08-08-regional-ai-futures.md,analytical
_posts/projects/2025-08-08-quantum-flux-theory.md,mathematical
_posts/projects/2025-08-08-quantum-cst-paper.md,mathematical
_posts/projects/2025-08-08-nuclear-asteroid-propulsion.md,analytical
_posts/projects/2025-08-08-multi-camera-island-correspondence.md,mathematical
