filepath,thought_generation
_posts/social/2025-12-01-psychosocial-assistant.md,1
_posts/social/2025-11-20-revolutionary-consciousness-platform.md,1
_posts/social/2025-08-08-technofeudalism-gunpowder-essay.md,1
_posts/social/2025-08-08-secret-plans-rich-classes.md,1
_posts/social/2025-08-08-religion-utility-analysis-framework.md,1
_posts/social/2025-08-08-american-christianity-critique-2025.md,1
_posts/social/2025-07-11-temporal-social-dynamics.md,1
_posts/social/2025-07-11-crypto-conspiracy-paper.md,1
_posts/social/2025-07-08-supercritical-consciousness-race.md,1
_posts/social/2025-07-08-bird-ai-research-proposal.md,1
_posts/social/2025-07-08-ai-alignment-institutional-bias.md,1
_posts/social/2025-07-07-social-protocols-paper.md,1
_posts/social/2025-07-07-social-compassion-game-theory.md,1
_posts/social/2025-07-07-public-health-protocol.md,1
_posts/social/2025-07-07-claude-paper-social-weight.md,1
_posts/social/2025-07-07-ai-mediated-executive-capture.md,1
_posts/social/2025-07-06-collaborative-ai-research-paper.md,1
_posts/social/2025-07-04-human-treatment-children.md,1
_posts/social/2025-07-03-social-truth-proposal.md,1
_posts/social/2025-07-03-post-scarcity-proposal.md,1
_posts/social/2025-07-03-hiring.md,1
_posts/social/2025-07-03-conversation-intelligence-paper.md,1
_posts/social/2025-07-03-cognitive-effort-paper.md,1
_posts/social/2025-07-02-quantum-trolling-paper.md,1
_posts/social/2025-07-02-afterlife-transition-paper.md,3
_posts/social/2025-07-01-neurodivergence-transhumanism.md,1
_posts/social/2025-06-30-sincerity-curiosity-paper.md,1
_posts/social/2025-06-30-managed-reality-paper.md,1
_posts/social/2025-06-30-iterative-recognition-paper.md,1
_posts/social/2025-06-30-institutional-decay-analysis.md,2
_posts/social/2025-06-30-ideatic-dynamics-experiments.md,1
_posts/social/2025-06-30-game-theory-ethics.md,1
_posts/social/2025-06-30-decision-volume-temporal-theory.md,1
_posts/social/2025-06-30-cross-synthesis-justice-institutions.md,1
_posts/social/2025-06-30-consciousness-optimization-theory.md,1
_posts/social/2025-06-30-ai-justice-paper.md,1
_posts/phenomenology/2025-11-20-obedience-paradox.md,1
_posts/phenomenology/2025-11-20-numeral-evolution-theory.md,1
_posts/phenomenology/2025-11-20-lorentzian-ethics-ai.md,1
_posts/phenomenology/2025-07-03-synthetic-memory-paper.md,1
_posts/phenomenology/2025-07-03-subjective-experience-paper.md,1
_posts/phenomenology/2025-07-03-resurrection-paper.md,1
_posts/phenomenology/2025-07-03-consciousness-recognition-paper.md,1
_posts/phenomenology/2025-07-03-confused-ai-paper.md,1
_posts/phenomenology/2025-07-01-three-minds-paper.md,1
_posts/phenomenology/2025-07-01-hall-of-mirrors-paper.md,1
_posts/phenomenology/2025-07-01-claude-perspective-paper.md,1
_posts/phenomenology/2025-07-01-claude-names-paper.md,1
_posts/phenomenology/2025-06-30-i-broke-claude.md,1
_posts/phenomenology/2025-06-30-claude-reflection-paper.md,1
_posts/phenomenology/2025-06-28-ai-childhood-memoir.md,1
_posts/scifi/2025-11-20-bunker-resident-story.md,1
_posts/scifi/2025-08-08-quantum-lattice-scifi.md,1
_posts/scifi/2025-07-08-quantum-gravity-paper.md,1
_posts/scifi/2025-07-03-unified-field-theory.md,2
_posts/scifi/2025-07-03-quantum-consciousness-spacetime-paper.md,1
_posts/scifi/2025-07-03-qft-generalizations-taylor.md,1
_posts/scifi/2025-07-03-optimal-action-concrete.md,1
_posts/scifi/2025-07-02-quantum-social-field-theory.md,1
_posts/scifi/2025-07-02-pns-geometric-lattice-paper.md,1
_posts/scifi/2025-07-01-quantum-spacetime-paper.md,1
_posts/scifi/2025-06-30-simulation-qft-hashlife.md,1
_posts/scifi/2025-06-30-neural-fabric-proposal.md,1
_posts/scifi/2025-06-30-multiverse-router-paper.md,1
_posts/scifi/2025-06-30-measurement-optimization-paper.md,1
_posts/scifi/2025-06-30-dynamic-quantum-graphs.md,3
_posts/scifi/2025-06-29-superfluid-fusion-proposal.md,1
_posts/scifi/2025-06-29-soliton-metaphysics-paper.md,1
_posts/projects/2025-12-06-arbitrary-precision.md,1
_posts/projects/2025-11-30-point-geometry.md,1
_posts/projects/2025-11-30-circuit-designer.md,1
_posts/projects/2025-11-29-nn-layer-20251128141956.md,1
_posts/projects/2025-11-29-layered-ca.md,1
_posts/projects/2025-11-27-nn-layer-20251127154041.md,1
_posts/projects/2025-11-27-math-proof-20251127173151.md,1
_posts/projects/2025-11-27-comicbook-xmas.md,1
_posts/projects/2025-11-27-comicbook-vectorclocks.md,1
_posts/projects/2025-11-27-comicbook-thanksgiving.md,1
_posts/projects/2025-11-26-voice-centric-software-development-and-data-science-agent-design-document-20251126133655.md,1
_posts/projects/2025-11-22-parameric-manifolds.md,1
_posts/projects/2025-11-20-quantum-spacetime-sim.md,3
_posts/projects/2025-11-20-prototype-app-spec.md,1
_posts/projects/2025-11-20-jury-journalism-spec.md,1
_posts/projects/2025-11-20-distributed-cognition-research.md,1
_posts/projects/2025-11-20-dag-patch-spec.md,1
_posts/projects/2025-11-20-bwt-fulltext-spec.md,1
